Date,Actual Revenue,Fitted Revenue
2022-01-31,149281383.7992,144564204.4495114
2022-02-28,159017773.303,145426661.2947437
2022-03-31,154370444.6497,146289118.1399761
2022-04-30,145771979.7656,147153628.4538875
2022-05-31,151635589.8058,148016085.2991198
2022-06-30,142191787.0897,148878542.1443521
2022-07-31,162303838.0967,149740998.9895844
2022-08-31,141448558.1251,150603455.8348167
2022-09-30,161501944.3393,151465912.680049
2022-10-31,157464105.7847,152330422.9939605
2022-11-30,164707710.5147,153192879.8391928
2022-12-31,150260088.8811,154055336.6844251
