Date,Actual Revenue,Fitted Revenue
2022-01-31,90201372.4178,113494009.1784138
2022-02-28,119595486.3453,114095559.8329404
2022-03-31,114698153.7828,114697110.4874669
2022-04-30,103915623.7822,115300093.4054565
2022-05-31,123071278.0077,115901644.0599831
2022-06-30,107335795.0054,116503194.7145096
2022-07-31,112353177.6245,117104745.3690361
2022-08-31,99184492.0441,117706296.0235626
2022-09-30,114426112.3928,118307846.6780891
2022-10-31,133224686.3557,118910829.5960788
2022-11-30,116773286.0934,119512380.2506053
2022-12-31,108471971.7111,120113930.9051318
